motor_name,avg_voltage_v,prop,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,40,596.0,24.0,5.3,128.0,4.66,10925
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,50,913.0,24.0,9.0,215.0,4.24,13198
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,60,1258.0,24.0,13.8,332.0,3.79,15318
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,70,1635.0,24.0,20.3,487.0,3.36,17419
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,80,2053.0,24.0,28.6,688.0,2.98,19433
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,90,2482.0,24.0,38.7,930.0,2.67,21096
Hobbywing XRotor 2807 1300KV,24.0,7.0x3.5x3,100,2824.0,24.0,48.5,1165.0,2.43,22329
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,40,648.0,24.0,6.4,155.0,4.19,10608
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,50,966.0,24.0,10.7,257.0,3.76,12747
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,60,1326.0,24.0,16.6,400.0,3.31,14736
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,70,1732.0,24.0,24.6,591.0,2.93,16623
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,80,2162.0,24.0,34.4,827.0,2.61,18358
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,90,2560.0,24.0,46.1,1107.0,2.31,19775
Hobbywing XRotor 2807 1300KV,24.0,7.0x4.0x3,100,2818.0,24.0,56.7,1361.0,2.07,20611
Hobbywing XRotor 2807 1500KV,20.0,7.0x3.5x3,40,535.0,20.0,5.5,110.0,4.86,10429
Hobbywing XRotor 2807 1500KV,20.0,7.0x3.5x3,50,808.0,20.0,9.3,188.0,4.3,12590
Hobbywing XRotor 2807 1500KV,20.0,7.0x3.5x3,60,1119.0,20.0,14.5,292.0,3.83,14650
Hobbywing XRotor 2807 1500KV,20.0,7.0x3.5x3,70,1471.0,20.0,21.2,427.0,3.44,16672
Hobbywing XRotor 2807 1500KV,20.0,7.0x3.5x3,80,1863.0,20.0,29.9,601.0,3.1,18599
