motor_name,avg_voltage_v,prop,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
FlyFishRC Flash 2004 1800KV,24.0,4.0x2.5x2 HQ T4*2.5*2,50,189.4,24.14,2.05,49.5,3.83,20483
FlyFishRC Flash 2004 1800KV,24.0,4.0x2.5x2 HQ T4*2.5*2,60,257.9,24.11,3.12,75.2,3.43,23520
FlyFishRC Flash 2004 1800KV,24.0,4.0x2.5x2 HQ T4*2.5*2,70,332.4,24.09,4.44,107.0,3.11,26684
FlyFishRC Flash 2004 1800KV,24.0,4.0x2.5x2 HQ T4*2.5*2,80,406.2,24.06,5.91,142.2,2.86,29380
FlyFishRC Flash 2004 1800KV,24.0,4.0x2.5x2 HQ T4*2.5*2,90,491.1,24.05,7.54,181.3,2.71,32199
FlyFishRC Flash 2004 1800KV,24.0,4.0x2.5x2 HQ T4*2.5*2,100,568.5,23.97,9.25,221.7,2.56,34765
FlyFishRC Flash 2004 1800KV,24.0,5.1x2.5x3 HQ T5125,50,311.5,24.09,3.29,79.3,3.93,17451
FlyFishRC Flash 2004 1800KV,24.0,5.1x2.5x3 HQ T5125,60,431.9,24.06,5.32,128.0,3.37,20105
FlyFishRC Flash 2004 1800KV,24.0,5.1x2.5x3 HQ T5125,70,554.6,24.01,7.55,181.3,3.06,22374
FlyFishRC Flash 2004 1800KV,24.0,5.1x2.5x3 HQ T5125,80,675.2,23.97,10.09,241.9,2.79,24306
FlyFishRC Flash 2004 1800KV,24.0,5.1x2.5x3 HQ T5125,90,763.9,23.93,12.68,303.4,2.52,25589
FlyFishRC Flash 2004 1800KV,24.0,5.1x2.5x3 HQ T5125,100,837.2,23.89,14.95,357.2,2.34,26767
FlyFishRC Flash 2004 2900KV,16.0,5.1x2.5x3 HQ T5125,50,356.9,16.05,6.57,105.4,3.39,18605
FlyFishRC Flash 2004 2900KV,16.0,5.1x2.5x3 HQ T5125,60,478.2,15.98,10.05,160.7,2.98,21230
FlyFishRC Flash 2004 2900KV,16.0,5.1x2.5x3 HQ T5125,70,605.9,15.87,13.22,209.8,2.89,23648
FlyFishRC Flash 2004 2900KV,16.0,5.1x2.5x3 HQ T5125,80,712.6,15.84,17.3,274.0,2.6,25220
FlyFishRC Flash 2004 2900KV,16.0,5.1x2.5x3 HQ T5125,90,806.1,15.78,21.76,343.4,2.35,26684
FlyFishRC Flash 2004 2900KV,16.0,5.1x2.5x3 HQ T5125,100,887.9,15.67,26.01,407.6,2.18,27789
FlyFishRC Flash 2004 2900KV,16.0,5.0x2.0x3 HQ T5020,50,301.0,15.98,5.14,82.1,3.66,20013
FlyFishRC Flash 2004 2900KV,16.0,5.0x2.0x3 HQ T5020,60,416.98,15.92,8.02,127.7,3.27,22902
FlyFishRC Flash 2004 2900KV,16.0,5.0x2.0x3 HQ T5020,70,527.24,15.9,11.07,176.0,3.0,25365
FlyFishRC Flash 2004 2900KV,16.0,5.0x2.0x3 HQ T5020,80,639.13,15.82,14.53,229.9,2.78,27440
FlyFishRC Flash 2004 2900KV,16.0,5.0x2.0x3 HQ T5020,90,754.09,15.75,18.46,290.7,2.59,29579
