cells,capacity_mah,discharge_c,voltage_v,connector,weight_g,sku
1S,320.0,75.0,3.7,,7.5,
1S,320.0,75.0,3.7,,7.5,
2S,6200.0,,7.4,XT30,203.0,HP0157.BATT-6200-2S
3S,300.0,35.0,11.100000000000001,JST,25.0,9671610003
3S,300.0,50.0,11.100000000000001,JST,30.0,9671610004
3S,850.0,70.0,11.1,JST,71.0,9067110019
3S,1000.0,40.0,11.1,XT60,91.0,9067110024
3S,1000.0,40.0,11.1,JST,84.0,9067110023
3S,1500.0,40.0,11.1,XT60,117.0,9067110027
3S,1500.0,40.0,11.1,EC3,117.0,9067110026
3S,1800.0,70.0,11.1,XT60,136.0,9067110059
3S,2200.0,30.0,11.1,XT60,147.0,9067160023
3S,2200.0,40.0,11.1,XT60,167.0,9067110030
3S,2200.0,60.0,11.1,XT60,178.0,9067160609
3S,2800.0,70.0,11.1,XT60,217.0,9067110063
3S,3000.0,70.0,11.100000000000001,XT90,265.0,9067000542-0
3S,3000.0,100.0,11.1,XT90,259.0,9067110038
3S,3300.0,30.0,11.1,XT60,209.0,9067110010
3S,3600.0,60.0,11.1,XT90,285.0,9067160577
3S,4000.0,40.0,11.1,XT60,253.0,9067160598
3S,5000.0,40.0,11.1,XT90,332.0,9067110033
3S,5000.0,70.0,11.100000000000001,XT90,431.0,9210000320-0
3S,5000.0,100.0,11.1,XT90,389.0,9067110012
3S,5000.0,100.0,11.1,XT60,380.0,9067110001
3S,5000.0,100.0,11.1,EC5,380.0,9067160561
3S,5000.0,100.0,11.1,XT90,380.0,9067160560
3S,5200.0,60.0,11.100000000000001,EC5,404.0,9067000553-0
3S,5200.0,60.0,11.100000000000001,XT90,404.0,9067000552-0
3S,5500.0,40.0,11.1,XT90,410.0,9067160582
3S,5500.0,60.0,11.1,XT90,414.0,9067160586
3S2P,5500.0,140.0,11.1,XT90,416.0,9067000525-0
3S,6000.0,70.0,11.1,XT90,424.0,9067160605
3S,6000.0,100.0,11.1,XT90,478.0,9067110015
3S,6000.0,100.0,11.1,XT60,440.0,9067110004
3S,6000.0,100.0,11.1,EC5,440.0,9067160569
3S,6000.0,100.0,11.1,XT90,440.0,9067160568
3S,6200.0,60.0,11.100000000000001,EC5,465.0,9067000546-0
3S,6200.0,60.0,11.100000000000001,XT90,465.0,9067000544-0
3S,8000.0,140.0,11.1,XT90,498.0,9067000540-0
4S,450.0,35.0,14.8,XT30,56.0,9671610005
4S,450.0,60.0,14.8,XT30,65.0,9067000516-0
4S,450.0,70.0,14.8,XT30,63.0,9210000305-0
4S,650.0,65.0,14.8,XT30,88.0,9067000438-0
4S,650.0,75.0,14.8,,87.0,9067000370-0
4S,850.0,25.0,14.8,,94.0,N850.4S.25
4S,850.0,45.0,14.8,,99.0,N850.4S.45
4S,850.0,60.0,14.8,XT30,106.0,9067000517-0
4S,850.0,70.0,14.8,XT30,98.0,9067110068
4S,850.0,70.0,14.8,XT60,107.0,9067160613
4S,850.0,70.0,14.8,XT60,106.0,9210000311-0
4S,850.0,95.0,14.8,XT30,97.5,LB07441
4S,1000.0,40.0,14.8,XT60,121.0,9067160590
4S,1000.0,45.0,14.8,,131.0,N1000.4S.45
4S,1000.0,70.0,14.8,XT60,140.0,9210000262-0
4S,1300.0,45.0,14.8,,166.0,N1300.4S.45
4S,1300.0,75.0,14.8,,173.0,9067000363-0
4S,1400.0,40.0,14.8,XT60,153.0,9210000287-0
4S,1500.0,40.0,14.8,XT60,150.0,9067110028
4S,1500.0,65.0,14.8,XT60,205.0,9067000442-0
4S,1500.0,75.0,14.8,XT60,202.0,9067000515-0
4S,1600.0,20.0,14.8,,154.0,T1600.4S.20
4S,1600.0,25.0,14.8,,182.0,N1600.4S.25
4S,1600.0,30.0,14.8,,177.0,T1600.4S.30
4S,1800.0,25.0,14.8,,209.0,N1800.4S.25
4S,1800.0,30.0,14.8,,185.0,T1800.4S.30
4S,1800.0,35.0,14.8,,207.0,N1800.4S.35
4S,1800.0,40.0,14.8,,213.0,T1800.4S.40
4S,1800.0,70.0,14.8,XT60,171.0,9067110061
4S,1800.0,70.0,14.8,EC3,167.0,9067110060
4S,2200.0,30.0,14.8,XT60,181.0,9067110007
4S,2200.0,30.0,14.8,,258.0,T2200.4S.30
4S,2200.0,40.0,14.8,XT60,216.0,9067110031
4S,2200.0,40.0,14.8,,248.0,T2200.4S.40
4S,2200.0,45.0,14.8,,254.0,N2200.4S.45
4S,2200.0,60.0,14.8,XT60,250.0,9067000194-0
4S,2200.0,70.0,14.8,XT60,265.26,9210000301-0
4S,2200.0,75.0,14.8,,260.0,9067000372-0
4S,2250.0,65.0,14.8,,268.0,N2250.4S.65
4S,2650.0,20.0,14.8,,265.0,T2650.4S.20
4S,2650.0,30.0,14.8,XT60,266.35,9210000282-0
4S,2700.0,65.0,14.8,XT60,332.0,9210000192-0
4S,2800.0,30.0,14.8,EC3,300.0,9067000100-0
4S,2800.0,70.0,14.8,EC3,276.0,9067110065
4S,2800.0,70.0,14.8,XT60,275.0,9067110064
4S,3000.0,1.0,14.8,XT30,205.0,F009249
4S,3000.0,40.0,14.8,XT60,330.0,9067000253-0
4S,3000.0,70.0,14.8,XT90,337.0,9067000543-0
4S,3000.0,75.0,14.8,XT90,360.0,9067000422-0
4S,3300.0,30.0,14.8,XT60,273.0,9067110011
4S,3300.0,35.0,14.8,XT60,344.0,9210000314-0
4S,3600.0,30.0,14.8,XT60,395.0,9067000263-0
4S,3600.0,60.0,14.8,XT90,370.0,9067160578
4S,4000.0,30.0,14.8,XT60,452.0,9067000268-0
4S,4000.0,40.0,14.8,XT60,337.0,9067160599
4S,4000.0,60.0,14.8,XT90,480.0,9067000241-0
4S,4000.0,100.0,14.8,XT90,419.0,9067000412-0
4S,4500.0,35.0,14.8,,496.0,ZC.4500.4S.35
4S,5000.0,25.0,14.8,XT90,523.0,9210000232-0
4S,5000.0,40.0,14.8,XT90,424.0,9067110034
4S,5000.0,40.0,14.8,XT90,550.0,9067000172-0
4S,5000.0,60.0,14.8,XT90,516.0,9067000237-0
4S,5000.0,70.0,14.8,XT90,568.0,9210000321-0
4S,5000.0,100.0,14.8,XT90,498.0,9067110013
4S,5000.0,100.0,14.8,EC5,490.0,9067160563
4S,5000.0,100.0,14.8,XT90,490.0,9067160562
4S,5200.0,60.0,14.8,EC5,524.0,9067000555-0
4S,5200.0,60.0,14.8,XT90,524.0,9067000554-0
4S,5500.0,60.0,14.8,XT90,535.0,9067160584
4S2P,5500.0,140.0,14.8,XT90,543.0,9067000526-0
4S,6000.0,25.0,14.8,XT90,623.0,9210000238-0
4S,6000.0,75.0,14.8,XT90,624.0,9067000414-0
4S,6000.0,100.0,14.8,XT90,605.0,9067110016
4S,6000.0,100.0,14.8,EC5,570.0,9067160571
4S,6000.0,100.0,14.8,XT90,570.0,9067160570
4S,6200.0,60.0,14.8,EC5,612.7,9067000549-0
4S,6200.0,60.0,14.8,XT90,609.0,9067000548-0
4S2P,6500.0,140.0,14.8,XT90,600.0,9067000539-0
4S,8000.0,12.0,14.8,XT90,752.0,9067000394-0
4S2P,8000.0,140.0,14.8,XT90,651.0,9067000541-0
4S,10000.0,12.0,14.8,XT90,902.0,9067000392-0
4S,12000.0,12.0,14.8,XT90,1080.0,9067000425-0
4S,16000.0,12.0,14.8,XT90,1366.0,9067000430-0
4S,20000.0,12.0,14.8,XT90,1775.0,9067000389-0
6S,1000.0,40.0,22.2,XT60,172.0,9067160589
6S,1000.0,65.0,22.2,XT60,205.0,9067000440-0
6S,1050.0,120.0,22.200000000000003,XT60,197.0,F010010
6S,1100.0,120.0,22.2,XT60,201.0,9671610007
6S,1200.0,75.0,22.2,XT60,232.0,9067000441-0
6S,1300.0,35.0,22.200000000000003,,218.0,T1300.6S.35
6S,1300.0,75.0,22.2,XT60,249.0,9067000513-0
6S,1350.0,150.0,22.200000000000003,XT60,232.0,DC4D7697
6S,1380.0,160.0,22.200000000000003,XT60,221.0,DC4B7801
6S,1480.0,150.0,22.200000000000003,XT60,242.0,F016872
6S,1480.0,180.0,22.2,XT60,223.0,
6S,1480.0,180.0,22.200000000000003,XT60,223.0,DC4A0213
6S,1500.0,100.0,22.2,XT60,238.0,9067110037
6S,1550.0,65.0,22.200000000000003,,287.0,9210000106-0
6S,1550.0,150.0,22.200000000000003,,239.0,DC4B6868
6S,1550.0,160.0,22.200000000000003,XT60,239.0,DC4B7675
6S,1600.0,120.0,22.2,XT60,272.0,9671610009
6S,1600.0,180.0,22.2,XT60,241.0,
6S,1600.0,180.0,22.200000000000003,XT60,241.0,DC4A0223
6S,1700.0,160.0,22.200000000000003,XT60,273.0,DC4D0471
6S,1800.0,70.0,22.2,XT60,247.0,9067110062
6S,1850.0,150.0,22.200000000000003,XT60,292.0,DC4D9168
6S,2200.0,30.0,22.2,XT60,261.0,9067110008
6S,2200.0,60.0,22.2,XT60,327.0,9671610012
