motor_name,kv,weight_g,weight_basis,cells,prop_in,max_thrust_g,peak_current_a,max_watt_w,no_load_a,stator,thrust_table,confidence,source
T-Motor Velox V2306 V3,1750,33.8,with cable,6S,5,1697,34.9,820.7,0.85A@10V,23x6,CAPTURED,high,https://www.getfpv.com/t-motor-velox-v2306-v3-motor-1500kv-1750kv-1950kv-2550kv.html
T-Motor Velox V2306 V3,1950,33.7,with cable,6S,5,1760,41.7,976,1.3A@10V,23x6,CAPTURED,high,https://www.getfpv.com/t-motor-velox-v2306-v3-motor-1500kv-1750kv-1950kv-2550kv.html
T-Motor Velox V2306 V3,2550,32.6,with cable,4S,5,1392,34.5,533.7,1.95A@10V,23x6,CAPTURED,high,https://www.getfpv.com/t-motor-velox-v2306-v3-motor-1500kv-1750kv-1950kv-2550kv.html
T-Motor F60 Pro V 2207.5,1750,34.3,with cable,6S,5,1883,40.5,1003,1.0A@10V,22x7.5,CAPTURED,high,https://www.getfpv.com/t-motor-f60-pro-v-motor-1750kv-1950kv-2020kv-2550kv.html
T-Motor F60 Pro V 2207.5,1950,33.9,with cable,6S,5,1990,49.3,1216,1.1A@10V,22x7.5,CAPTURED,high,https://www.getfpv.com/t-motor-f60-pro-v-motor-1750kv-1950kv-2020kv-2550kv.html
T-Motor F60 Pro V 2207.5,2020,33.8,with cable,4-6S,5,2010,52.7,1297,1.25A@10V,22x7.5,CAPTURED,high,https://www.getfpv.com/t-motor-f60-pro-v-motor-1750kv-1950kv-2020kv-2550kv.html
T-Motor F60 Pro V 2207.5,2550,33.3,with cable,4S,5,1394,50.7,825,1.6A@10V,22x7.5,CAPTURED,high,https://www.getfpv.com/t-motor-f60-pro-v-motor-1750kv-1950kv-2020kv-2550kv.html
iFlight XING2 2306,1755,31.6,with short wire,4-6S,5,,,,,23x6,image-only,high,https://www.getfpv.com/iflight-xing2-2306-1755kv-2555kv-motor.html
iFlight XING2 2306,2555,31.6,with short wire,4S,5,,,,,23x6,image-only,high,https://www.getfpv.com/iflight-xing2-2306-1755kv-2555kv-motor.html
iFlight XING-E Pro 2207,1800,33.8,with wire,3-6S,5-6,1899,35.22,845.3,,22x7,CAPTURED,high,https://shop.iflight.com/xing-e-pro-2207-2-6s-fpv-nextgen-motor-pro874
iFlight XING-E Pro 2207,2450,33.8,with wire,2-4S,5,,42.63,682.1,,22x7,image-only,high,https://shop.iflight.com/xing-e-pro-2207-2-6s-fpv-nextgen-motor-pro874
iFlight XING-E Pro 2207,2750,33.8,with wire,2-4S,5,,50.03,800.5,,22x7,image-only,high,https://shop.iflight.com/xing-e-pro-2207-2-6s-fpv-nextgen-motor-pro874
