motor_name,avg_voltage_v,prop,prop_model,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,15.0,63.0,22.2,0.66,14.65,4.3,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,20.0,115.0,22.2,1.16,25.75,4.466,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,25.0,158.0,22.2,1.92,42.62,3.707,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,30.0,246.0,22.2,3.27,72.59,3.389,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,35.0,392.0,22.2,4.38,97.24,4.031,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,40.0,497.0,22.2,6.01,133.42,3.725,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,45.0,556.0,22.2,7.83,173.83,3.199,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,50.0,686.0,22.2,9.96,221.11,3.103,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,55.0,841.0,22.2,12.51,277.72,3.028,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,60.0,950.0,22.2,15.89,352.76,2.693,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,65.0,1088.0,22.2,19.05,422.91,2.573,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,70.0,1254.0,22.2,23.13,513.49,2.442,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,75.0,1373.0,22.2,26.49,588.08,2.335,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,80.0,1461.0,22.2,31.86,707.29,2.066,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,85.0,1636.0,22.2,36.82,817.4,2.001,
3B 2207 1950KV,22.2,5.1x3.6x3,Gemfan Vannystyle 5136,90.0,1820.0,22.2,41.84,928.85,1.959,
AOS 3220 1000KV,24.0,10.0x5.0x3,,30.0,1125.0,24.0,8.2,196.8,5.716,
AOS 3220 1000KV,24.0,10.0x5.0x3,,30.0,1036.0,24.0,7.5,180.0,5.756,
AOS 3220 1000KV,24.0,10.0x5.0x3,,40.0,1936.0,24.0,16.3,391.2,4.949,
AOS 3220 1000KV,24.0,10.0x5.0x3,,40.0,1900.0,24.0,15.6,374.4,5.075,
AOS 3220 1000KV,24.0,10.0x5.0x3,,50.0,2797.0,24.0,27.6,662.4,4.223,
AOS 3220 1000KV,24.0,10.0x5.0x3,,50.0,2702.0,24.0,25.3,607.2,4.45,
AOS 3220 1000KV,24.0,10.0x5.0x3,,60.0,3637.0,24.0,40.4,969.6,3.751,
AOS 3220 1000KV,24.0,10.0x5.0x3,,60.0,3525.0,24.0,37.6,902.4,3.906,
AOS 3220 1000KV,24.0,10.0x5.0x3,,70.0,4491.0,24.0,57.9,1389.6,3.232,
AOS 3220 1000KV,24.0,10.0x5.0x3,,70.0,4356.0,24.0,52.4,1257.6,3.464,
AOS 3220 1000KV,24.0,10.0x5.0x3,,80.0,5272.0,24.0,76.9,1845.6,2.857,
AOS 3220 1000KV,24.0,10.0x5.0x3,,80.0,5173.0,24.0,71.5,1716.0,3.015,
AOS 3220 1000KV,24.0,10.0x5.0x3,,90.0,5442.0,24.0,84.2,2020.8,2.693,
AOS 3220 1000KV,24.0,10.0x5.0x3,,90.0,5410.0,24.0,78.2,1876.8,2.883,
AOS 3220 1000KV,24.0,10.0x5.0x3,,100.0,5735.0,24.0,87.9,2109.6,2.719,
AOS 3220 1000KV,24.0,10.0x5.0x3,,100.0,5746.0,24.0,83.9,2013.6,2.854,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,GF5136R,50.0,839.0,21.0,10.0,210.0,3.995,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,GF5136R,50.0,1006.0,24.0,11.9,285.6,3.522,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,HQ R36,50.0,811.0,21.0,9.4,197.4,4.108,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,HQ R36,50.0,997.0,24.0,11.7,280.8,3.551,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,GF5136R,100.0,2184.0,21.0,49.6,1041.6,2.097,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,GF5136R,100.0,2521.0,24.0,59.4,1425.6,1.768,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,HQ R36,100.0,2025.0,21.0,44.7,938.7,2.157,
AOS Supernova 2207 1980KV,22.5,5.1x3.6x?,HQ R36,100.0,2236.0,24.0,54.4,1305.6,1.713,
AOS Supernova 2207 1980KV,22.5,5.1x3.8x?,HQ R38,50.0,806.0,21.0,9.8,205.8,3.916,
AOS Supernova 2207 1980KV,22.5,5.1x3.8x?,HQ R38,50.0,981.0,24.0,12.2,292.8,3.35,
AOS Supernova 2207 1980KV,22.5,5.1x3.8x?,HQ R38,100.0,1941.0,21.0,47.2,991.2,1.958,
AOS Supernova 2207 1980KV,22.5,5.1x3.8x?,HQ R38,100.0,2279.0,24.0,57.7,1384.8,1.646,
AOS Supernova 2207 1980KV,22.5,5.1x4.7x?,GF51466R,50.0,861.0,21.0,10.1,212.1,4.059,
AOS Supernova 2207 1980KV,22.5,5.1x4.7x?,GF51466R,50.0,1040.0,24.0,12.1,290.4,3.581,
AOS Supernova 2207 1980KV,22.5,5.1x4.7x?,GF51466R,100.0,2278.0,21.0,51.0,1071.0,2.127,
AOS Supernova 2207 1980KV,22.5,5.1x4.7x?,GF51466R,100.0,2547.0,24.0,60.7,1456.8,1.748,
AOS Supernova 2207 1980KV,22.5,5.1x4.8x?,DAL T5148.5,50.0,759.0,21.0,8.9,186.9,4.061,
AOS Supernova 2207 1980KV,22.5,5.1x4.8x?,DAL T5148.5,50.0,920.0,24.0,10.4,249.6,3.686,
AOS Supernova 2207 1980KV,22.5,5.1x4.8x?,DAL T5148.5,100.0,1967.0,21.0,43.9,921.9,2.134,
AOS Supernova 2207 1980KV,22.5,5.1x4.8x?,DAL T5148.5,100.0,2311.0,24.0,54.3,1303.2,1.773,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,30.0,1150.0,32.0,6.4,204.8,5.615,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,30.0,1055.0,32.0,5.9,188.8,5.588,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,40.0,1979.0,32.0,12.8,409.6,4.832,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,40.0,1940.0,32.0,12.3,393.6,4.929,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,50.0,2707.0,32.0,21.7,694.4,4.116,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,50.0,2760.0,32.0,19.8,633.6,4.356,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,60.0,3707.0,32.0,31.8,1017.6,3.647,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,60.0,3601.0,32.0,29.6,947.2,3.802,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,70.0,4590.0,32.0,45.6,1459.2,3.146,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,70.0,4447.0,32.0,41.3,1321.6,3.365,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,80.0,5389.0,32.0,60.5,1936.0,2.784,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,80.0,5285.0,32.0,56.3,1801.6,2.934,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,90.0,5562.0,32.0,66.3,2121.6,2.622,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,90.0,5522.0,32.0,61.5,1968.0,2.806,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,100.0,5851.0,32.0,69.2,2214.4,2.642,
AOS SuperNova 3220 700KV,32.0,10.0x5.0x3,,100.0,5859.0,32.0,66.1,2115.2,2.77,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,30.0,1067.0,24.0,7.5,180.0,5.928,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,30.0,984.0,24.0,6.9,165.6,5.942,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,40.0,1839.0,24.0,14.9,357.6,5.143,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,40.0,1805.0,24.0,14.3,343.2,5.259,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,50.0,2657.0,24.0,25.4,609.6,4.359,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,50.0,2566.0,24.0,23.3,559.2,4.589,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,60.0,2455.0,24.0,37.1,890.4,2.757,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,60.0,3348.0,24.0,34.6,830.4,4.032,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,70.0,4266.0,24.0,53.2,1276.8,3.341,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,70.0,4138.0,24.0,48.2,1156.8,3.577,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,80.0,5008.0,24.0,70.7,1696.8,2.951,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,80.0,4914.0,24.0,65.8,1579.2,3.112,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,90.0,5169.0,24.0,77.4,1857.6,2.783,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,90.0,5139.0,24.0,71.9,1725.6,2.978,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,100.0,5448.0,24.0,80.8,1939.2,2.809,
AOS SuperNova 3220 925KV,24.0,10.0x5.0x3,,100.0,5458.0,24.0,77.2,1852.8,2.946,
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,30.0,293.0,24.0,2.6,62.4,4.7,7808.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,40.0,437.0,24.0,4.3,103.2,4.23,9440.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,50.0,626.0,24.0,6.7,160.8,3.89,11054.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,60.0,961.0,24.0,11.2,268.8,3.58,13322.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,70.0,1342.0,23.9,17.3,413.47,3.25,15379.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,80.0,1807.0,23.8,26.7,635.46,2.84,17706.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,90.0,2193.0,23.8,36.0,856.8,2.56,19318.0
BrotherHobby Avenger 2810 1180K,23.9,7.0x4.0x3,,100.0,2339.0,23.7,43.5,1030.95,2.27,19769.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,30.0,396.0,25.2,3.4,85.68,4.62,9544.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,40.0,689.0,25.2,6.9,173.88,3.96,12278.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,50.0,1049.0,25.2,11.9,299.88,3.5,14485.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,60.0,1321.0,25.2,16.3,410.76,3.22,16778.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,70.0,1703.0,25.1,24.2,607.42,2.8,18855.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,80.0,2001.0,25.0,31.9,797.5,2.51,20740.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,90.0,2103.0,24.9,45.6,1135.44,1.85,21783.0
BrotherHobby Avenger 2810 1350K,25.07,7.0x3.5x3,,100.0,2473.0,24.8,57.9,1435.92,1.72,22405.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,30.0,573.0,25.2,6.5,163.8,3.5,13931.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,40.0,823.0,25.2,10.4,262.08,3.14,16375.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,50.0,1040.0,25.2,13.9,350.28,2.97,18402.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,60.0,1267.0,25.2,17.9,451.08,2.81,20206.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,70.0,1660.0,25.2,26.9,677.88,2.45,23122.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,80.0,1995.0,25.2,36.0,907.2,2.2,25435.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,90.0,2313.0,25.2,45.0,1134.0,2.04,27274.0
BrotherHobby Avenger 2810 1500K,25.2,6.0x3.5x3,,100.0,2329.0,25.2,46.0,1159.2,2.01,27328.0
BrotherHobby Avenger 2810 900KV,23.9,8.0x4.5x3,,30.0,329.0,24.0,2.2,52.8,6.23,6045.0
BrotherHobby Avenger 2810 900KV,23.9,8.0x4.5x3,,40.0,569.0,24.0,4.3,103.2,5.51,7666.0
BrotherHobby Avenger 2810 900KV,23.9,8.0x4.5x3,,50.0,871.0,24.0,7.8,187.2,4.65,9480.0
BrotherHobby Avenger 2810 900KV,23.9,8.0x4.5x3,,60.0,1233.0,24.0,12.4,297.6,4.14,10928.0
BrotherHobby Avenger 2810 900KV,23.9,8.0x4.5x3,,70.0,1571.0,23.9,18.5,442.15,3.55,12331.0
BrotherHobby Avenger 2810 900KV,23.9,8.0x4.5x3,,80.0,2107.0,23.8,39.4,937.72,2.25,14141.0
