motor_name,weight_g,basis,confidence,source
AOS 3220 1000KV,170,with wire,high,https://www.team-blacksheep.com/products/prod:aos_supernova_900
AOS SuperNova 3220 700KV,170,with wire,high,https://www.racedayquads.com/products/aos-rc-supernova-3220-motor-700kv-925kv
AOS SuperNova 3220 925KV,170,with wire,high,https://www.racedayquads.com/products/aos-rc-supernova-3220-motor-700kv-925kv
BrotherHobby Avenger 2810 900KV,65,with cables,high,https://www.brotherhobbystore.com/products/avenger-2810-motor
BrotherHobby Avenger 2810 1180K,65,with cables,high,https://www.brotherhobbystore.com/products/avenger-2810-motor
BrotherHobby Avenger 2810 1350K,65,with cables,high,https://www.brotherhobbystore.com/products/avenger-2810-motor
BrotherHobby Avenger 2810 1500K,65,with cables,high,https://www.brotherhobbystore.com/products/avenger-2810-motor
BrotherHobby Avenger 2812 900KV,78,with 25cm wires (V2),high,https://druav.com/products/brotherhobby-avenger-2812-v2-motor
BrotherHobby Avenger 2812 V3 11,76.5,with 25cm wires,high,https://www.brotherhobbystore.com/avenger-2812-v3-motorcw-p0112.html
BrotherHobby Avenger 3120 500KV,142.7,with 30cm wires,high,https://www.getfpv.com/brotherhobby-avenger-3120-motor-500kv-700kv.html
BrotherHobby Avenger 3120 700KV,142.7,with 30cm wires,high,https://www.getfpv.com/brotherhobby-avenger-3120-motor-500kv-700kv.html
EMAX ECOII 2812 930KV,71.6,without wire,high,https://www.getfpv.com/emax-pro-series-2812-motor-930kv-1100kv.html
EMAX ECOII 2812 1100KV,71.6,without wire,high,https://www.getfpv.com/emax-pro-series-2812-motor-930kv-1100kv.html
GEPRC EM2812 900KV,76,with wire,high,https://geprc.com/product/geprc-em2812-900kv-motor/
GEPRC EM3115 900KV,115,with wire,high,https://geprc.com/product/geprc-em3115-900kv-motor/
GEPRC SPEEDX2 3214 860KV,155,with 500mm wire,high,https://geprc.com/product/geprc-speedx2-3214-860kv-motor/
GTS3215 1200KV,120,with 3cm wire,high,https://www.unmannedtechshop.co.uk/products/rcinpower-gts-3215-brushless-fpv-drone-motor
MAD BSC2810 1100KV,67,unspecified,high,https://store.mad-motor.com/products/mad-bsc-2810-fpv-drone-motor
MAD BSC2810 1350KV,67,unspecified,high,https://store.mad-motor.com/products/mad-bsc-2810-fpv-drone-motor
MAD BSC3115 900KV,113,unspecified,high,https://store.mad-motor.com/products/mad-3115-drone-motor
MAD BSC3115 1050KV,113,unspecified,high,https://store.mad-motor.com/products/mad-3115-drone-motor
MAD Shadow XC3000 920KV,70,unspecified,high,https://www.uavmodel.com/products/mad-xc3000-t2-shadow-brushless-motor
MAD Shadow XC3000 1200KV,70,unspecified,high,https://www.uavmodel.com/products/mad-xc3000-t2-shadow-brushless-motor
NIDICI 2807 1300KV,60.5,with wire,high,https://shop.iflight.com/NIDICI-cat381/NIDICI-2807-FPV-Motor-Pro2314
NIDICI 3115 900KV,77,with wire,high,https://shop.iflight.com/NIDICI-3115-FPV-Motor-Pro2317
NIDICI 3115 1250KV,77,with wire,high,https://shop.iflight.com/NIDICI-3115-FPV-Motor-Pro2317
Surpass Hobby B2810 980KV,70,net weight,high,https://rcdrone.top/products/surpass-hobby-bat-2806-5-2808-2810-2812-3110-3115-800kv-1900kv-brushless-motors
Surpass Hobby B2810 1180KV,70,net weight,high,https://rcdrone.top/products/surpass-hobby-bat-2806-5-2808-2810-2812-3110-3115-800kv-1900kv-brushless-motors
Surpass Hobby S3110 800KV,86,net weight,high,https://rcdrone.top/products/surpass-hobby-bat-2806-5-2808-2810-2812-3110-3115-800kv-1900kv-brushless-motors
Surpass Hobby S3110 1280KV,86,net weight,high,https://rcdrone.top/products/surpass-hobby-bat-2806-5-2808-2810-2812-3110-3115-800kv-1900kv-brushless-motors
Surpass Hobby S3110 1580KV,86,net weight,high,https://rcdrone.top/products/surpass-hobby-bat-2806-5-2808-2810-2812-3110-3115-800kv-1900kv-brushless-motors
T-Motor F100 1100KV,67,with cable,high,https://www.getfpv.com/t-motor-f100-2810-lr-cinematic-motor-1100kv-1350kv.html
T-Motor F100 1350KV,66.5,with cable,high,https://www.getfpv.com/t-motor-f100-2810-lr-cinematic-motor-1100kv-1350kv.html
T-Motor V2812 925KV,78.6,with cable,high,https://www.getfpv.com/t-motor-velox-v2812-cinematic-motor-925kv-1155kv.html
T-Motor V2812 1155KV,78,with cable,high,https://www.getfpv.com/t-motor-velox-v2812-cinematic-motor-925kv-1155kv.html
T-Motor V3008 1155KV,69,with cable,high,https://www.getfpv.com/t-motor-velox-v3008-cinematic-motor-1155kv-1350kv-1500kv.html
T-Motor V3008 1350KV,69,with cable,high,https://www.getfpv.com/t-motor-velox-v3008-cinematic-motor-1155kv-1350kv-1500kv.html
T-Motor V3008 1500KV,69,with cable,high,https://www.getfpv.com/t-motor-velox-v3008-cinematic-motor-1155kv-1350kv-1500kv.html
XING 2806.5 1300KV,54.3,with wire,high,https://shop.iflight.com/xing-x2806-5-fpv-nextgen-motor-pro1001
XING2 3110 900KV,77,with wire,high,https://www.getfpv.com/iflight-xing2-3110-cinelifter-motor-900kv-1250kv-1600kv.html
XING2 3314 900KV,129,with wire,high,https://shop.iflight.com/XING2-3314-Cinelifter-Motor-Pro2034
XNOVA Cinelifter 3220 490KV,155,with 30cm wires (700KV figure),high,https://rotorvillage.ca/xnova-3220-700kv-cinelifter-sk-series-1pc/
iFlight XING 2814 1100KV,88.3,with wire,high,https://shop.iflight.com/xing-x2814-fpv-nextgen-motor-pro838
RTF-3115 900KV,125,motor weight,high,https://www.hobbywing.com/en/products/rtf3110
